Model,Precision,Recall,F1,PR-AUC,ROC-AUC,Brier,TP,TN,FP,FN,FPR,FNR
Logistic Regression (Baseline),0.14772106986899564,0.7117028270874425,0.24466041360605717,0.41938378920513114,0.8560095725585691,0.11910258152503517,2165,73048,12491,877,0.14602695846339098,0.2882971729125575
LightGBM (Standard),0.8817966903073287,0.3678500986193294,0.5191370911621433,0.6184592781988624,0.9306450055474118,0.019832966517974608,1119,85389,150,1923,0.001753586083540841,0.6321499013806706
LightGBM (Class-Weighted),0.5011702750146284,0.5631163708086785,0.5303405572755417,0.5784660736345463,0.910845254701903,0.030465377137341664,1713,83834,1705,1329,0.019932428482914225,0.4368836291913215
XGBoost (Standard),0.9005059021922428,0.3510848126232742,0.5052034058656575,0.6106209931876557,0.9234514614712311,0.020195676013827324,1068,85421,118,1974,0.0013794877190521284,0.6489151873767258
XGBoost (Class-Weighted),0.47400955324529365,0.55456936226167,0.5111346765641569,0.5639369966226795,0.9038296632963303,0.03243689239025116,1687,83667,1872,1355,0.021884754322589697,0.44543063773833
